Year,Month_Number,Open Price,High Price,Low Price,Close Price,Total Traded Quantity
2016,6,1155.0,1191.85,1147.0,1176.45,16437960
2016,7,1180.0,1251.25,1160.9,1246.2,29118968
2016,8,1249.0,1295.0,1213.8,1291.2,29235419
2016,9,1288.0,1318.45,1265.4,1272.85,26015242
2016,10,1281.0,1300.05,1224.15,1253.3,19911162
2016,11,1256.0,1289.0,1158.0,1199.6,38038267
2016,12,1202.3,1212.0,1163.6,1206.2,23477472
2017,1,1209.45,1300.0,1183.1,1286.65,32853352
2017,2,1286.2,1454.0,1280.5,1390.1,132053238
2017,3,1396.45,1479.95,1369.0,1442.55,36215227
2017,4,1446.0,1573.95,1425.05,1546.5,33404392
2017,5,1547.0,1648.0,1522.6,1636.2,25075665
2017,6,1639.0,1716.0,1620.55,1652.05,23376096
2017,7,1652.6,1798.8,1645.0,1784.4,31346795
2017,8,1781.85,1809.15,1731.15,1776.45,25634365
2017,9,1781.0,1868.0,1738.0,1805.7,39056437
2017,10,1808.0,1879.6,1757.85,1808.5,33680354
2017,11,1815.1,1875.5,1788.0,1853.7,25459963
2017,12,1854.9,1903.1,1799.0,1872.4,29716571
2018,1,1872.7,2013.5,1850.5,2005.7,35760436
2018,2,2006.0,2015.0,1836.3,1884.2,27602788
2018,3,1879.3,1900.0,1828.5,1886.1,28352209
2018,4,1890.5,1979.0,1860.3,1944.3,26318977
2018,5,1950.0,2160.0,1946.0,2139.45,39518909
2018,6,2116.0,2157.0,2023.0,2037.4,47682726
