Year,Week_Number,Open Price,High Price,Low Price,Close Price,Total Traded Quantity
2016,24,1155.0,1178.0,1153.2,1170.0,2883811
2016,25,1159.0,1191.85,1147.0,1161.9,6079567
2016,26,1162.0,1185.0,1150.0,1174.5,8550801
2016,27,1178.2,1188.75,1160.9,1174.85,4334416
2016,28,1186.0,1226.0,1181.05,1223.7,7017380
2016,29,1225.0,1239.9,1213.85,1230.8,6611999
2016,30,1233.0,1251.25,1227.0,1246.2,10078954
2016,31,1249.0,1258.95,1227.65,1249.25,6517982
2016,32,1252.9,1255.0,1219.4,1228.7,5014230
2016,33,1233.0,1254.9,1213.8,1247.1,4800474
2016,34,1245.05,1266.8,1241.0,1257.1,6909444
2016,35,1255.5,1295.0,1236.2,1285.1,8288255
2016,36,1290.05,1305.0,1278.3,1290.4,4111119
2016,37,1274.7,1304.5,1265.4,1297.85,4465716
2016,38,1297.0,1318.45,1284.05,1312.7,6340522
2016,39,1306.1,1308.9,1267.4,1272.85,8802919
2016,40,1281.0,1300.05,1276.25,1280.6,4139064
2016,41,1285.0,1287.9,1254.0,1261.8,3326446
2016,42,1265.5,1272.95,1232.75,1270.7,4486999
2016,43,1271.75,1276.85,1224.15,1253.3,7958653
2016,44,1256.0,1263.85,1231.75,1243.7,5481895
2016,45,1252.0,1283.0,1195.35,1275.8,10626270
2016,46,1277.5,1289.0,1209.2,1211.4,8213948
2016,47,1219.5,1219.5,1158.0,1189.3,10089738
2016,48,1180.25,1207.9,1176.5,1189.1,5761330
2016,49,1187.6,1205.9,1167.0,1198.3,5395185
2016,50,1192.0,1194.5,1163.6,1182.3,4615900
2016,51,1176.8,1189.25,1168.4,1186.25,4391884
2016,52,1178.55,1212.0,1170.1,1206.2,6939589
2017,1,1209.45,1210.1,1183.1,1193.65,6706230
2017,2,1198.85,1243.7,1192.15,1232.5,6557511
2017,3,1233.5,1256.0,1230.0,1236.35,7348211
2017,4,1236.0,1300.0,1235.8,1291.9,9386233
2017,5,1292.95,1316.0,1277.0,1311.05,9077018
2017,6,1312.3,1320.0,1292.55,1303.6,5106303
2017,7,1307.55,1454.0,1299.2,1377.05,104668113
2017,8,1361.2,1421.8,1359.15,1394.3,14154625
2017,9,1390.9,1398.35,1369.0,1377.0,4546483
2017,10,1376.8,1408.0,1373.1,1400.1,4986041
2017,11,1422.1,1427.5,1406.65,1425.85,4949363
2017,12,1426.65,1445.0,1422.0,1424.35,7017251
2017,13,1424.0,1479.95,1404.05,1442.55,16618435
2017,14,1446.0,1450.1,1425.05,1438.85,5166477
2017,15,1443.0,1449.95,1431.5,1440.3,4029866
2017,16,1440.3,1499.0,1428.25,1496.6,9538366
2017,17,1498.1,1573.95,1468.45,1546.5,14669683
2017,18,1547.0,1554.25,1522.6,1532.2,3600982
2017,19,1538.0,1560.0,1528.55,1551.65,4864670
2017,20,1550.0,1569.9,1542.25,1561.25,3957261
2017,21,1565.1,1632.0,1562.0,1626.0,8735393
2017,22,1619.8,1648.0,1616.15,1634.25,5560630
2017,23,1633.7,1670.0,1625.0,1666.8,5002712
2017,24,1664.0,1691.9,1653.6,1669.25,5040797
2017,25,1671.0,1716.0,1668.4,1678.65,5697414
2017,26,1689.0,1695.0,1643.0,1652.05,5991902
2017,27,1652.6,1669.6,1645.0,1667.2,5343421
2017,28,1670.7,1748.0,1658.55,1679.95,4603126
2017,29,1682.55,1715.25,1677.0,1703.05,4070189
2017,30,1710.0,1798.8,1695.0,1778.5,15487774
2017,31,1777.55,1809.15,1766.15,1790.25,7771442
2017,32,1786.0,1797.25,1731.15,1749.05,5843092
2017,33,1753.0,1789.8,1743.0,1752.15,4291562
2017,34,1754.0,1777.95,1736.8,1762.5,5464520
2017,35,1762.4,1781.45,1738.0,1767.6,4679827
2017,36,1765.0,1790.0,1738.0,1787.65,7083669
2017,37,1793.0,1852.5,1790.2,1848.95,8770520
2017,38,1853.55,1868.0,1820.0,1824.1,6932136
2017,39,1822.45,1822.45,1763.3,1805.7,15696319
2017,40,1808.0,1821.0,1793.1,1800.1,4346596
2017,41,1798.8,1856.55,1787.6,1850.8,5985784
2017,42,1860.0,1875.0,1839.0,1848.4,2596140
2017,43,1859.9,1879.6,1757.85,1791.05,18225631
2017,44,1798.25,1840.0,1792.4,1830.7,5710964
2017,45,1825.0,1844.95,1812.35,1822.0,6933858
2017,46,1822.0,1838.3,1788.0,1825.55,6142113
2017,47,1829.0,1860.0,1829.0,1851.4,4691254
2017,48,1849.0,1875.5,1840.0,1848.2,5472514
2017,49,1854.9,1854.9,1799.0,1840.4,6779529
2017,50,1848.0,1888.0,1812.0,1873.45,6162374
2017,51,1855.0,1903.1,1809.3,1876.65,9479763
2017,52,1881.0,1882.8,1851.15,1872.4,6330368
2018,1,1872.7,1880.75,1850.5,1863.6,5283191
2018,2,1865.0,1878.15,1855.0,1865.3,5721882
2018,3,1869.95,1959.9,1859.85,1952.2,12508213
2018,4,1960.0,1988.0,1943.3,1974.95,6852950
2018,5,1978.0,2015.0,1941.5,1948.0,8861086
2018,6,1918.0,1935.25,1836.3,1849.5,9655489
2018,7,1860.0,1897.9,1855.15,1878.6,4114260
2018,8,1882.6,1887.6,1841.55,1880.55,6955509
2018,9,1888.1,1921.75,1868.0,1874.35,4388104
2018,10,1874.15,1879.9,1828.5,1851.05,5903322
2018,11,1860.2,1887.5,1846.55,1853.0,7282242
2018,12,1853.0,1880.0,1835.25,1841.55,7820157
2018,13,1839.9,1900.0,1833.5,1886.1,6369028
2018,14,1890.5,1935.75,1878.45,1923.4,5242315
2018,15,1918.8,1943.0,1905.4,1925.0,5237818
2018,16,1920.0,1961.0,1919.85,1955.9,5189677
2018,17,1979.0,1979.0,1860.3,1923.4,9496779
2018,18,1930.0,1990.0,1928.8,1988.5,5685952
2018,19,1981.65,2017.0,1954.6,2011.75,7480191
2018,20,2017.2,2065.0,2003.5,2012.15,8311035
2018,21,2016.1,2021.0,1956.35,2008.7,5953776
2018,22,2007.8,2160.0,2006.0,2110.6,18528182
2018,23,2150.0,2157.0,2023.0,2049.35,33107142
2018,24,2051.9,2062.95,2024.1,2037.4,9287745
