,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,range,Average,GT1400,DailyTrend,Calculated Column
0,HDFCBANK,EQ,2016-06-15,1151.85,1155.0,1170.9,1153.2,       1168.00,1169.55,1162.38,761456,885102790.95,18995,473129,62.13,17.700000000000045,1162.275,0,Positive,14.549999999999955
1,HDFCBANK,EQ,2016-06-16,1169.55,1166.55,1168.85,1155.35,       1160.75,1162.15,1162.8,1181942,1374366879.35,29029,735044,62.19,13.5,1164.35,0,Negative,1164.35
2,HDFCBANK,EQ,2016-06-17,1162.15,1167.0,1178.0,1165.55,       1171.10,1170.0,1172.49,940413,1102623949.1,16726,560769,59.63,12.450000000000045,1168.5,0,Positive,3.0
3,HDFCBANK,EQ,2016-06-20,1170.0,1159.0,1179.25,1158.8,       1170.00,1172.05,1172.16,685691,803741569.3,21802,357602,52.15,20.450000000000045,1165.525,0,Positive,13.049999999999955
4,HDFCBANK,EQ,2016-06-21,1172.05,1175.0,1175.45,1161.2,       1164.30,1166.65,1166.05,667742,778619035.6,12721,356707,53.42,14.25,1170.825,0,Negative,1170.825
5,HDFCBANK,EQ,2016-06-22,1166.65,1166.0,1175.0,1166.0,       1169.10,1171.5,1171.63,950960,1114176752.65,31558,634707,66.74,9.0,1168.75,0,Positive,5.5
6,HDFCBANK,EQ,2016-06-23,1171.5,1169.8,1191.85,1167.5,       1191.50,1190.1,1184.36,981683,1162668048.2,18772,577439,58.82,24.34999999999991,1179.9499999999998,0,Positive,20.299999999999955
7,HDFCBANK,EQ,2016-06-24,1190.1,1159.85,1171.9,1147.0,       1161.00,1161.9,1154.94,2793491,3226301497.9,53496,1700254,60.86,24.90000000000009,1160.875,0,Positive,2.050000000000182
8,HDFCBANK,EQ,2016-06-27,1161.9,1162.0,1169.0,1153.05,       1160.00,1159.95,1162.11,1040947,1209693980.0,26122,618389,59.41,15.950000000000045,1160.975,0,Negative,1160.975
9,HDFCBANK,EQ,2016-06-28,1159.95,1161.25,1173.1,1150.0,       1169.30,1166.95,1168.27,1008745,1178482693.4,28328,561927,55.71,23.09999999999991,1164.1,0,Positive,5.7000000000000455
10,HDFCBANK,EQ,2016-06-29,1166.95,1165.0,1169.5,1159.7,       1168.00,1168.3,1165.87,1355167,1579948212.3,39547,947929,69.95,9.799999999999955,1166.65,0,Positive,3.2999999999999545
11,HDFCBANK,EQ,2016-06-30,1168.3,1171.0,1180.0,1162.15,       1173.60,1176.45,1172.0,4069723,4769717489.65,52900,3251396,79.89,17.84999999999991,1173.725,0,Positive,5.4500000000000455
13,HDFCBANK,EQ,2016-07-01,1176.45,1180.0,1185.0,1171.8,       1174.95,1174.5,1180.29,1076219,1270255524.85,34548,656180,60.97,13.200000000000045,1177.25,0,Negative,1177.25
14,HDFCBANK,EQ,2016-07-04,1174.5,1178.2,1179.5,1171.4,       1173.85,1172.8,1175.22,1812463,2130050821.55,37185,1408369,77.7,8.099999999999909,1175.5,0,Negative,1175.5
15,HDFCBANK,EQ,2016-07-05,1172.8,1172.8,1174.3,1162.0,       1168.75,1165.6,1165.93,534082,622703221.2,20065,284398,53.25,12.299999999999955,1169.1999999999998,0,Negative,1169.1999999999998
17,HDFCBANK,EQ,2016-07-07,1165.6,1167.9,1188.75,1160.9,       1184.70,1185.65,1179.86,1208154,1425449236.0,15087,778136,64.41,27.84999999999991,1176.775,0,Positive,17.75
18,HDFCBANK,EQ,2016-07-08,1185.65,1185.1,1185.6,1171.25,       1175.40,1174.85,1174.8,779717,916014247.7,14452,515839,66.16,14.349999999999909,1179.975,0,Negative,1179.975
20,HDFCBANK,EQ,2016-07-11,1174.85,1186.0,1201.9,1181.05,       1201.00,1199.75,1196.78,1275633,1526656787.15,24406,788527,61.81,20.850000000000136,1192.875,0,Positive,13.75
21,HDFCBANK,EQ,2016-07-12,1199.75,1209.9,1209.9,1195.55,       1202.00,1202.15,1199.97,1761508,2113755121.1,21529,1117369,63.43,14.350000000000136,1206.025,0,Negative,1206.025
23,HDFCBANK,EQ,2016-07-13,1202.15,1199.8,1201.95,1193.3,       1198.10,1197.75,1198.59,1671768,2003767689.8,30747,1217492,72.83,8.650000000000091,1198.775,0,Negative,1198.775
24,HDFCBANK,EQ,2016-07-14,1197.75,1201.0,1202.15,1192.2,       1199.55,1200.35,1197.06,864917,1035361851.6,10539,539373,62.36,9.950000000000045,1200.675,0,Negative,1200.675
25,HDFCBANK,EQ,2016-07-15,1200.35,1203.8,1226.0,1195.1,       1226.00,1223.7,1215.63,1443554,1754828459.8,31861,911594,63.15,30.90000000000009,1213.75,0,Positive,19.90000000000009
26,HDFCBANK,EQ,2016-07-18,1223.7,1225.0,1238.5,1222.65,       1225.00,1227.45,1231.23,1109621,1366204134.3,23823,547041,49.3,15.849999999999909,1226.225,0,Positive,2.4500000000000455
27,HDFCBANK,EQ,2016-07-19,1227.45,1229.0,1230.75,1213.85,       1220.15,1218.35,1219.12,646501,788160942.85,14608,352407,54.51,16.90000000000009,1223.675,0,Negative,1223.675
28,HDFCBANK,EQ,2016-07-20,1218.35,1223.0,1238.5,1221.75,       1231.55,1232.2,1233.42,1172583,1446281684.9,27727,802714,68.46,16.75,1227.6,0,Positive,9.200000000000045
29,HDFCBANK,EQ,2016-07-21,1232.2,1230.7,1239.9,1222.5,       1230.30,1228.6,1230.13,2278226,2802515288.0,52777,816709,35.85,17.40000000000009,1229.65,0,Negative,1229.65
30,HDFCBANK,EQ,2016-07-22,1228.6,1233.35,1234.65,1221.5,       1234.55,1230.8,1228.13,1405068,1725612317.45,31672,747279,53.18,13.150000000000091,1232.0749999999998,0,Negative,1232.0749999999998
31,HDFCBANK,EQ,2016-07-25,1230.8,1233.0,1249.45,1227.0,       1245.00,1246.95,1239.8,2468221,3060092569.65,27888,1714655,69.47,22.450000000000045,1239.975,0,Positive,13.950000000000045
32,HDFCBANK,EQ,2016-07-26,1246.95,1242.4,1245.65,1235.15,       1239.50,1238.8,1241.44,1416498,1758498126.2,20342,1029668,72.69,10.5,1240.6,0,Negative,1240.6
33,HDFCBANK,EQ,2016-07-27,1238.8,1241.0,1247.55,1230.0,       1234.40,1236.95,1237.51,2683684,3321092302.2,30172,2103661,78.39,17.549999999999955,1238.975,0,Negative,1238.975
34,HDFCBANK,EQ,2016-07-28,1236.95,1238.0,1251.25,1235.55,       1251.00,1248.45,1244.62,2661632,3312727179.9,28041,1462637,54.95,15.700000000000045,1243.225,0,Positive,10.450000000000045
35,HDFCBANK,EQ,2016-07-29,1248.45,1248.0,1250.0,1235.0,       1248.50,1246.2,1242.04,848919,1054392098.55,22969,583148,68.69,15.0,1247.1,0,Negative,1247.1
37,HDFCBANK,EQ,2016-08-01,1246.2,1249.0,1258.95,1227.65,       1244.90,1242.3,1242.97,1390216,1727991430.0,25393,865109,62.23,31.299999999999955,1245.65,0,Negative,1245.65
38,HDFCBANK,EQ,2016-08-02,1242.3,1247.0,1256.45,1240.4,       1245.10,1243.3,1245.35,1332349,1659238435.4,30516,818847,61.46,16.049999999999955,1245.15,0,Negative,1245.15
39,HDFCBANK,EQ,2016-08-03,1243.3,1241.1,1249.95,1231.0,       1239.85,1240.45,1243.11,1183469,1471181706.05,15957,772726,65.29,18.950000000000045,1240.775,0,Negative,1240.775
