,Date,Open Price,High Price,Low Price,Close Price,SMA50,SMA5,SMA10,SMA20,SMA100,SMA200
0,736130.0,1155.0,1170.9,1153.2,1169.55,,,,,,
1,736131.0,1166.55,1168.85,1155.35,1162.15,,,,,,
2,736132.0,1167.0,1178.0,1165.55,1170.0,,,,,,
3,736135.0,1159.0,1179.25,1158.8,1172.05,,,,,,
4,736136.0,1175.0,1175.45,1161.2,1166.65,,1168.08,,,,
5,736137.0,1166.0,1175.0,1166.0,1171.5,,1168.4699999999998,,,,
6,736138.0,1169.8,1191.85,1167.5,1190.1,,1174.06,,,,
7,736139.0,1159.85,1171.9,1147.0,1161.9,,1172.4399999999998,,,,
8,736142.0,1162.0,1169.0,1153.05,1159.95,,1170.0199999999998,,,,
9,736143.0,1161.25,1173.1,1150.0,1166.95,,1170.0799999999995,1169.0800000000002,,,
10,736144.0,1165.0,1169.5,1159.7,1168.3,,1169.4399999999996,1168.9550000000002,,,
11,736145.0,1171.0,1180.0,1162.15,1176.45,,1166.7099999999996,1170.3850000000002,,,
13,736146.0,1180.0,1185.0,1171.8,1174.5,,1169.2299999999996,1170.8350000000003,,,
14,736149.0,1178.2,1179.5,1171.4,1172.8,,1171.7999999999997,1170.9100000000003,,,
15,736150.0,1172.8,1174.3,1162.0,1165.6,,1171.5299999999997,1170.8050000000003,,,
17,736152.0,1167.9,1188.75,1160.9,1185.65,,1174.9999999999998,1172.2200000000003,,,
18,736153.0,1185.1,1185.6,1171.25,1174.85,,1174.6799999999998,1170.6950000000002,,,
20,736156.0,1186.0,1201.9,1181.05,1199.75,,1179.7299999999998,1174.4800000000002,,,
21,736157.0,1209.9,1209.9,1195.55,1202.15,,1185.6,1178.7000000000003,,,
23,736158.0,1199.8,1201.95,1193.3,1197.75,,1192.03,1181.7800000000002,1175.43,,
24,736159.0,1201.0,1202.15,1192.2,1200.35,,1194.97,1184.9850000000001,1176.97,,
25,736160.0,1203.8,1226.0,1195.1,1223.7,,1204.7400000000002,1189.7100000000003,1180.0475000000001,,
26,736163.0,1225.0,1238.5,1222.65,1227.45,,1210.2800000000002,1195.0050000000003,1182.92,,
27,736164.0,1229.0,1230.75,1213.85,1218.35,,1213.52,1199.5600000000004,1185.2350000000001,,
28,736165.0,1223.0,1238.5,1221.75,1232.2,,1220.41,1206.2200000000005,1188.5125,,
29,736166.0,1230.7,1239.9,1222.5,1228.6,,1226.06,1210.5150000000006,1191.3674999999998,,
30,736167.0,1233.35,1234.65,1221.5,1230.8,,1227.48,1216.1100000000004,1193.4025,,
31,736170.0,1233.0,1249.45,1227.0,1246.95,,1231.3799999999999,1220.8300000000004,1197.655,,
32,736171.0,1242.4,1245.65,1235.15,1238.8,,1235.47,1224.4950000000003,1201.5974999999999,,
33,736172.0,1241.0,1247.55,1230.0,1236.95,,1236.42,1228.4150000000004,1205.0974999999999,,
34,736173.0,1238.0,1251.25,1235.55,1248.45,,1240.39,1233.2250000000006,1209.105,,
35,736174.0,1248.0,1250.0,1235.0,1246.2,,1243.47,1235.4750000000006,1212.5925,,
37,736177.0,1249.0,1258.95,1227.65,1242.3,,1242.5400000000002,1236.9600000000005,1215.9824999999998,,
38,736178.0,1247.0,1256.45,1240.4,1243.3,,1243.44,1239.4550000000004,1219.5075,,
39,736179.0,1241.1,1249.95,1231.0,1240.45,,1244.14,1240.2800000000002,1223.25,,
40,736180.0,1246.6,1246.7,1233.6,1241.0,,1242.65,1241.5200000000002,1226.0175,,
41,736181.0,1247.4,1255.65,1241.75,1249.25,,1243.2600000000002,1243.3650000000002,1229.7375,,
42,736184.0,1252.9,1255.0,1244.55,1249.6,,1244.7200000000003,1243.6300000000003,1232.23,,
43,736185.0,1252.9,1252.9,1237.7,1247.2,,1245.5000000000002,1244.4700000000005,1234.4824999999998,,
44,736186.0,1245.0,1250.95,1219.75,1226.9,,1242.7900000000004,1243.4650000000004,1235.94,,
45,736187.0,1226.8,1235.0,1222.0,1228.25,,1240.2400000000002,1241.4450000000002,1237.335,,
46,736188.0,1231.05,1235.0,1219.4,1228.7,,1236.1300000000003,1239.6950000000002,1237.585,,
47,736192.0,1233.0,1238.45,1213.8,1227.3,,1231.6700000000005,1238.1950000000002,1237.5774999999999,,
48,736193.0,1233.4,1237.5,1226.0,1234.9,,1229.2100000000005,1237.3550000000002,1238.4050000000002,,
49,736194.0,1238.0,1254.9,1234.55,1252.5,,1234.3300000000004,1238.5600000000002,1239.42,,
50,736195.0,1250.0,1250.0,1241.45,1247.1,,1238.1000000000004,1239.1700000000003,1240.345,,
51,736198.0,1245.05,1254.45,1241.0,1250.3,,1242.4200000000005,1239.275,1241.3200000000002,,
52,736199.0,1251.0,1254.0,1246.05,1251.45,,1247.2500000000005,1239.4600000000003,1241.545,,
53,736200.0,1252.05,1264.2,1247.05,1261.8,,1252.6300000000003,1240.92,1242.6950000000002,,
54,736201.0,1264.0,1266.8,1254.3,1258.55,1213.365,1253.8400000000004,1244.085,1243.775,,
55,736202.0,1260.0,1261.9,1253.9,1257.1,1215.116,1255.8400000000001,1246.97,1244.2075,,
56,736205.0,1255.5,1255.5,1236.2,1238.1,1216.6349999999998,1253.4,1247.91,1243.8024999999998,,
57,736206.0,1245.1,1270.5,1243.95,1268.65,1218.608,1256.8400000000004,1252.045,1245.12,,
58,736207.0,1269.0,1295.0,1265.5,1291.2,1220.9909999999998,1262.7200000000003,1257.6750000000002,1247.5149999999999,,
59,736208.0,1288.0,1290.0,1275.4,1283.7,1223.3319999999997,1267.7500000000002,1260.7950000000003,1249.6775,,
60,736209.0,1285.5,1289.0,1281.15,1285.1,1225.6039999999996,1273.35,1264.5950000000003,1251.8825,,
61,736213.0,1290.05,1303.9,1290.05,1300.4,1227.8099999999997,1285.81,1269.6050000000002,1254.44,,
62,736214.0,1301.0,1305.0,1283.1,1286.75,1230.3069999999998,1289.4299999999998,1273.1350000000002,1256.2975000000001,,
64,736215.0,1290.0,1295.25,1283.6,1289.4,1232.8959999999997,1289.07,1275.8950000000002,1258.4075,,
66,736216.0,1290.0,1294.5,1278.3,1290.4,1235.3649999999998,1290.41,1279.0800000000004,1261.5825,,
67,736219.0,1274.7,1284.4,1271.5,1279.9,1237.5969999999998,1289.3700000000001,1281.3600000000001,1264.1650000000002,,
68,736221.0,1275.0,1277.0,1265.4,1269.45,1239.4569999999999,1283.1799999999998,1284.4950000000003,1266.2025,,
69,736222.0,1272.0,1283.9,1269.85,1279.6,1241.5589999999997,1281.75,1285.5900000000004,1268.8175,,
71,736223.0,1283.8,1304.5,1283.8,1297.85,1244.0599999999997,1283.44,1286.2550000000003,1271.965,,
72,736226.0,1297.0,1302.5,1288.0,1290.15,1246.5509999999997,1283.39,1286.9,1273.8475,,
73,736227.0,1292.65,1295.0,1284.05,1288.45,1248.6069999999997,1285.1,1287.2350000000001,1275.9150000000002,,
74,736228.0,1292.0,1298.0,1287.9,1293.0,1250.9699999999998,1289.81,1286.4950000000003,1278.0500000000002,,
75,736229.0,1305.0,1316.95,1300.55,1306.9,1253.1129999999998,1295.27,1288.5100000000002,1280.8225000000002,,
76,736230.0,1306.05,1318.45,1301.5,1312.7,1255.3239999999996,1298.2400000000002,1290.8400000000004,1283.3675000000003,,
77,736233.0,1306.1,1308.9,1293.7,1296.15,1257.2919999999997,1299.44,1291.4150000000004,1285.2475000000004,,
79,736234.0,1299.0,1306.15,1294.85,1298.05,1259.2459999999999,1301.3600000000001,1293.2300000000002,1287.2950000000005,,
